Location,Name,Date,ID
,TECHLABS Minsk Qualifier,5/5/13,1120
,Gaming.dk League by SteelSeries Season 6 Finals,5/9/13,1122
,The Blast 2013,5/10/13,1123
,Svecup Vsters Qualifier #2,5/10/13,1124
,SLTV StarSeries VI,5/13/13,1125
,SLTV StarSeries VI,5/13/13,1125
,Go4CS:GO Cup #43,5/12/13,1126
,IN League Season 2,5/13/13,1127
,RaidCall EMS One Summer 2013 Cup #1,5/14/13,1128
,TECHLABS Cup Minsk 2013,5/18/13,1129
,Fnatic FragOut League Season 2,5/19/13,1130
,Go4CS:GO Cup #44,5/19/13,1133
,DreamHack Summer 2013 Finnish Qual.,5/20/13,1134
,RaidCall EMS One Summer 2013 Cup #2,5/21/13,1135
,MFJV Online Series #2,5/28/13,1137
,Svecup Vsters,5/25/13,1138
,DreamHack Summer 2013 Danish Qual.,5/26/13,1139
,ESEA Invite Season 14 Europe,5/27/13,1141
,ESEA Invite Season 14 Europe,5/27/13,1141
,RaidCall EMS One Summer 2013 Cup #3,5/28/13,1142
,ESEA Intermediate Season 14 Europe,5/28/13,1143
,FACEIT Cup May 2013,5/30/13,1144
,DreamHack Summer 2013 IOS Qual.,6/1/13,1145
,RaidCall EMS One Summer 2013 Cup #4,6/4/13,1147
,RaidCall EMS One Summer 2013 Group Stage,6/10/13,1148
,TLP 2013 Qualifier,6/9/13,1149
,DreamHack Summer 2013,6/15/13,1151
,DreamHack Summer 2013 BYOC,6/16/13,1152
,Swedish Championship 2013,6/16/13,1153
,DreamHack Summer 2013 2on2,6/17/13,1154
,RaidCall EMS One Summer 2013 Finals,6/29/13,1155
,ESL Pro Series Germany Summer Season 2013,8/13/13,1156
,ESL Pro Series Germany Summer Season 2013,8/13/13,1156
,FMR LAN Cup #8,6/23/13,1157
,ESL Pro Series Spain XI,7/2/13,1158
,SLTV ProSeries VI,7/1/13,1160
,FACEIT Cup June 2013,7/2/13,1162
,SLTV StarSeries VI Finals,7/4/13,1163
,Prague Challenge,7/13/13,1164
,DreamHack Valencia 2013,7/18/13,1165
,Mad Catz Invitational,8/12/13,1166
,Mad Catz Qualifier,7/30/13,1168
,FACEIT Cup July 2013,8/8/13,1171
,Areena #3 by SteelSeries,8/10/13,1172
,SLTV StarSeries VII Qualifier,8/11/13,1173
,ESEA Invite Season 14 Global Finals,8/17/13,1174
,SLTV StarSeries VII,8/14/13,1175
,SLTV StarSeries VII,8/14/13,1175
,MSI Beat it! 2013 EU Open Qualifier #1,8/20/13,1176
,MSI Beat it! 2013 EU Open Qualifier #2,8/21/13,1177
,MSI Beat it! 2013 EU Open Qualifier #3,8/23/13,1178
,MSI Beat it! 2013 EU Open Qualifier #4,8/23/13,1179
,MSI Beat it! 2013 EU Shootout,8/24/13,1180
,MSI Beat it! 2013 European Finals,8/26/13,1181
,Go4CS:GO Cup #58,8/25/13,1182
,Go4CS:GO Monthly Finals July 2013,8/29/13,1183
,TECHLABS Cup Kiev 2013,8/31/13,1184
,MFJV 2013,9/1/13,1185
,Go4CS:GO Cup #59,9/1/13,1187
,European Championship 2013 Qualification Round 1,9/8/13,1188
,RaidCall EMS One Fall 2013 Cup #1,9/3/13,1189
,Gaming.dk League by SteelSeries Season 7,9/3/13,1190
,East Asian Championship 2013,9/7/13,1191
,East Asian Championship 2013,9/7/13,1191
,DreamHack Bucharest 2013,9/14/13,1192
,Go4CS:GO Cup #60,9/8/13,1193
,FACEIT Cup August 2013,9/9/13,1195
,MSI Beat it! 2013 US Finals,9/11/13,1196
,RaidCall EMS One Fall 2013 Cup #2,9/10/13,1197
,ESWC 2013 France Pre-Qual. #1,9/12/13,1198
,ESWC 2013 France Pre-Qual. #2,9/19/13,1199
,RaidCall EMS One Fall 2013 Cup #3,9/17/13,1200
,TECHLABS Cup Minsk 2013 EU Qualifier,9/20/13,1201
,TECHLABS Baltics Cup 2013,9/20/13,1202
,European Championship 2013 Qualification Round 2,9/20/13,1203
,ESWC 2013 European Qualifier,9/21/13,1204
,TECHLABS Cup Minsk 2013 CIS Qualifier,9/22/13,1206
,ESWC 2013 NA Qualifier,9/23/13,1207
,ESWC 2013 NA Qualifier,9/23/13,1207
,RaidCall EMS One Fall 2013 Cup #4,9/24/13,1209
,TECHLABS Cup BY 2013,9/28/13,1211
,ESWC 2013 Germany,9/28/13,1212
,ESWC 2013 Denmark,9/29/13,1213
,Go4CS:GO Cup #63,9/29/13,1215
